coord,z,M_black_hole,L_disk,magfield
1958.0-3847, 0.63, 5.01e+08, 1.00e+46, 1.20
1959.1-4245, 2.17, 9.55e+08, 1.41e+46, 2.30
2000.0+6509, 0.05, 5.01e+08, 1.91e+43, 0.50
2001.0-1750, 0.65, 5.01e+08, 9.77e+44, 2.70
2005.2+7752, 0.34, 5.01e+08, 3.47e+44, 2.80
2009.3-4849, 0.07, 5.01e+08, 1.91e+43, 0.90
2022.5+7612, 0.59, 5.01e+08, 7.59e+44, 2.60
2031.8+1223, 1.22, 3.89e+07, 5.75e+44, 5.10
2036.8-2830, 2.31, 5.01e+08, 6.76e+45, 2.30
2056.2-4714, 1.49, 7.94e+08, 3.98e+46, 3.10
2115.4+2933, 1.51, 7.94e+08, 1.00e+46, 3.00
2123.6+0533, 1.94, 6.03e+08, 7.08e+46, 3.50
2134.1-0152, 1.28, 5.01e+08, 3.31e+45, 2.20
2143.5+1744, 0.21, 5.01e+08, 3.98e+45, 2.00
2144.9-3356, 1.36, 2.00e+08, 1.51e+45, 2.10
2146.7-1527, 0.70, 5.01e+08, 1.29e+46, 2.80
2147.2+0929, 1.11, 5.01e+08, 1.51e+46, 2.20
2151.8-3025, 2.35, 3.98e+09, 1.20e+47, 1.00
2152.4+1735, 0.87, 5.01e+08, 2.51e+44, 2.20
2157.5+3126, 1.49, 7.76e+08, 5.50e+45, 2.00
2158.0-1501, 0.67, 5.01e+08, 3.47e+45, 1.50
2158.8-3013, 0.12, 5.01e+08, 2.82e+44, 1.00
2203.4+1725, 1.08, 5.01e+08, 5.75e+45, 2.80
2203.7+3143, 0.29, 5.01e+08, 1.58e+46, 1.80
2206.9-0031, 1.05, 5.01e+08, 1.41e+45, 2.00
2207.8-5345, 1.22, 1.00e+09, 3.02e+46, 2.00
2212.0+2355, 1.12, 1.00e+09, 5.01e+45, 2.50
2217.0+2421, 0.51, 5.01e+08, 2.51e+44, 2.20
2219.2+1806, 1.07, 1.00e+09, 7.08e+45, 2.50
2229.7-0833, 1.56, 8.91e+08, 3.02e+46, 2.50
2236.3+2829, 0.80, 2.19e+08, 2.34e+45, 2.20
2236.5-1432, 0.33, 5.01e+08, 7.08e+44, 0.50
2243.4-2541, 0.77, 5.01e+08, 1.82e+45, 2.40
2254.0+1608, 0.86, 8.91e+08, 2.00e+46, 3.00
2258.0-2759, 0.93, 7.94e+08, 3.02e+46, 1.50
2315.7-5018, 0.81, 4.79e+07, 4.27e+44, 3.30
2323.5-0315, 1.39, 5.01e+08, 1.51e+46, 2.10
2327.7+0941, 1.84, 1.10e+09, 3.02e+46, 1.80
2329.3-4955, 0.52, 2.00e+09, 2.09e+45, 0.80
2329.9-4734, 1.30, 2.00e+09, 6.03e+46, 1.00
2334.1+0732, 0.40, 2.29e+08, 4.47e+45, 1.30
2338.1-0229, 1.07, 1.00e+09, 1.10e+46, 2.00
2345.2-1554, 0.62, 2.09e+08, 2.29e+45, 2.00
2348.0-1630, 0.58, 5.89e+08, 6.03e+45, 1.70
2357.8-5310, 1.01, 7.08e+08, 1.70e+46, 1.90
2358.2-1022, 1.64, 2.00e+09, 5.01e+46, 2.20
